LI;2015;1;Introductorio;Sistemas y Programación;01001;8;Introducción a la Programación
LI;2015;1;Introductorio;Matemática;01002;8;Matemática I
LI;2015;1;Introductorio;Humanística;01003;4;Taller de Trabajo Intelectual
LI;2015;2;Básico;Sistemas y Programación;01004;8;Programación con Objetos I
LI;2015;2;Básico;Matemática;01005;8;Matemática II
LI;2015;2;Básico;Sistemas y Programación;01006;6;Organización del Computador
LI;2015;3;Básico;Sistemas y Programación;01007;8;Programación con Objetos II
LI;2015;3;Básico;Matemática;01008;6;Lógica y Programación
LI;2015;3;Básico;Sistemas y Programación;01009;8;Base de Datos
LI;2015;4;Básico;Sistemas y Programación;01010;8;Algoritmos y Estructuras de Datos
LI;2015;4;Avanzado;Sistemas y Programación;01011;6;Redes de Computadoras
LI;2015;4;Avanzado;Sistemas y Programación;01012;8;Ingeniería del Software I
LI;2015;5;Avanzado;Sistemas y Programación;01013;8;Sistemas Operativos
LI;2015;5;Avanzado;Sistemas y Programación;01014;8;Ingeniería del Software II
LI;2015;5;Avanzado;Sistemas y Programación;01015;8;Inteligencia Artificial
LI;2015;6;Avanzado;Sistemas y Programación;01016;8;Compiladores
LI;2015;6;Complementario;Inserción Profesional;01017;4;Trabajo de Inserción Profesional
LI;2015;7;Complementario;Orientación;01018;4;Seminario de Actualización
LI;2015;8;Complementario;Orientación;01019;16;Seminario Final
